CompoundWords,Prefixes,Suffixes
aftereffect,anti-,-able
afternoon,counter-,-ible
afterthought,de-,-ance
airbag,dis-,-ence
aircraft,ex-,-ant
airline,extra-,-ent
airplane,fore-,-ant
airport,homo-,-ate
airtight,hyper-,-dom
angelfish,il-,-ful
another,im-,-ee
anybody,in-,-ian
anyhow,inter-,-er
anymore,ir-,-or
anyone,mal-,-ic
anyplace,mid-,-ery
anything,mis-,-ical
anytime,mono-,-hood
anyway,neo-,-ish
anywhere,non-,-ion
applesauce,omni-,-ive
armchair,out-,-ism
armhole,pre-,-less
armpit,re-,-ist
arrowhead,semi-,-like
artwork,sub-,-ity
awestruck,super-,-ous
backache,un-,-ment
backbone,under-,-some
backdrop,deca-,-ness
background,kilo-,-y
backhand,mega-,-ship
backhoe,giga-,-ure
backlog,deci-,
backpack,centi-,
backspace,milli-,
backstab,micro-,
backstabbing,,
backstroke,,
backwater,,
backwoods,,
backyard,,
badlands,,
bagpipe,,
ballplayer,,
bantamweight,,
barcode,,
barefoot,,
barnstorm,,
barnyard,,
baseball,,
basketball,,
bathmat,,
bathrobe,,
bathroom,,
bathtub,,
bathwater,,
battlecry,,
battlecruiser,,
battlefield,,
battleship,,
beachcomb,,
beachcomber,,
beancurd,,
become,,
bedrock,,
bedroom,,
bedspread,,
bedspring,,
bedtime,,
beehive,,
beekeeper,,
beekeeping,,
beeswax,,
beforehand,,
bellflower,,
bellhop,,
bellyache,,
benchmark,,
billboard,,
birthday,,
birthplace,,
birthrate,,
birthright,,
bitterroot,,
bittersweet,,
blackberry,,
blackbird,,
blackboard,,
blacklist,,
blackout,,
blacksmith,,
blockbuster,,
blowout,,
blowup,,
bluebell,,
blueberry,,
bluebird,,
bluebonnet,,
bobcat,,
bobtail,,
bodyguard,,
bookbinder,,
bookbinding,,
bookcase,,
bookkeeper,,
bookmark,,
bookmobile,,
bookshelf,,
bookstore,,
bookworm,,
bowleg,,
boxcar,,
brainstorm,,
brainwash,,
breadbasket,,
breadbox,,
breadcrumb,,
breadfruit,,
breadknife,,
breadstick,,
breakdancing,,
breakdown,,
breakfast,,
breakfront,,
breakneck,,
breakout,,
breakthrough,,
breakup,,
breakwater,,
breastbone,,
breaststroke,,
bridegroom,,
briefcase,,
bringdown,,
browbeat,,
bucktoothed,,
bulkhead,,
bulldog,,
bulldozer,,
bullfrog,,
businessman,,
businesswoman,,
buttercup,,
butterfingers,,
butterfly,,
buttermilk,,
buttonhole,,
bygone,,
bypass,,
callback,,
campfire,,
candlestick,,
candytuft,,
cannot,,
cardboard,,
carefree,,
careless,,
caretaker,,
carpool,,
carport,,
cartwheel,,
catfish,,
catnap,,
catnip,,
chairman,,
chairperson,,
chairwoman,,
cheapskate,,
checkerboard,,
checkmate,,
checkroom,,
checkup,,
chestnut,,
chickpea,,
childbearing,,
childbirth,,
childcare,,
childfree,,
childless,,
childlike,,
childproof,,
chopstick,,
classmate,,
classroom,,
classwork,,
clockwise,,
clockwork,,
clotheshorse,,
clothesline,,
clothespin,,
coastline,,
cobweb,,
coldhearted,,
cookbook,,
cookout,,
cooktop,,
cookware,,
copycat,,
copyright,,
copywriter,,
corkscrew,,
cornbread,,
corncob,,
cornfield,,
cornflower,,
cornmeal,,
cornstalk,,
cottonmouth,,
countdown,,
counterattack,,
counterbalance,,
counterclockwise,,
counterweight,,
countryside,,
coursework,,
courthouse,,
courtyard,,
cowbell,,
cowboy,,
cowgirl,,
cowslip,,
crabgrass,,
craftsman,,
craftswoman,,
crawfish,,
crayfish,,
crossbow,,
crossroad,,
crossroads,,
crosswalk,,
crossword,,
crowbar,,
cubbyhole,,
cupboard,,
cupcake,,
cutaway,,
cutback,,
cutoff,,
cutthroat,,
cutup,,
daredevil,,
darkroom,,
dashboard,,
database,,
daybreak,,
daydream,,
daylight,,
daytime,,
deadline,,
desktop,,
dimwit,,
dishcloth,,
dishwasher,,
dishwater,,
dogcatcher,,
dogfish,,
doghouse,,
dogwood,,
doorbell,,
doorknob,,
doorman,,
doormat,,
doorstep,,
doorstop,,
doorway,,
downburst,,
downcast,,
downdraft,,
downfall,,
downhill,,
downlink,,
download,,
downplay,,
downpour,,
downrate,,
downright,,
downscale,,
downshift,,
downsize,,
downstairs,,
downstream,,
downstroke,,
downthrow,,
downtown,,
downtrodden,,
downturn,,
downward,,
downwind,,
dragonfly,,
drainpipe,,
dreadlock,,
dreadnought,,
dressmaker,,
dressmaking,,
driftwood,,
driveway,,
dropout,,
drugstore,,
drumbeat,,
drumfire,,
drumroll,,
drumstick,,
duckbill,,
dugout,,
dumbbell,,
dustpan,,
duststorm,,
earache,,
eardrum,,
earlobe,,
earmark,,
earmuff,,
earphone,,
earring,,
earshot,,
earthbound,,
earthquake,,
earthward,,
earthworm,,
earwig,,
eavesdrop,,
eggbeater,,
eggcup,,
egghead,,
eggnog,,
eggplant,,
eggshell,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
elsewhere,,
,,
evergreen,,
everlasting,,
everybody,,
everyday,,
everyone,,
everything,,
everywhere,,
eyeball,,
eyebrow,,
eyeglass,,
eyelash,,
eyelid,,
eyepiece,,
eyesight,,
eyewitness,,
fallout,,
fanfare,,
farewell,,
farmhouse,,
farmyard,,
farsighted,,
fatherland,,
feedback,,
fiddlesticks,,
fingernail,,
fingerprint,,
fingertip,,
firearm,,
fireboat,,
firebug,,
firefighter,,
firefly,,
fireman,,
fireplace,,
fireproof,,
firewood,,
firework,,
firsthand,,
fishbowl,,
fishcake,,
fisherman,,
fisherwoman,,
fisheye,,
fishhook,,
fishnet,,
flagpole,,
flapjack,,
flashlight,,
flatfish,,
floodlight,,
floorboard,,
flowerbed,,
flowerpot,,
flyby,,
flyweight,,
flywheel,,
foghorn,,
folklore,,
foolproof,,
football,,
foothill,,
